"Timestamp","¿Cómo la escribirías? n1.e3.f1","¿Cómo la escribirías? n1.e3.f2","¿Cómo la escribirías? n1.e3.f3"
"2016/04/03 2:45:55 PM GMT-3","(((X a la un medio)más 6) por ye","(((X a la un medio) más seis) elevado a la ye","$TERM$ menor que b menor o igual a (c mas 1)"
"2016/04/03 4:12:36 PM GMT-3","(x elevado a la un medio más 6) por ye","(x elevado a la un medio más 6) elevado a la ye","$TERM$ menor a b menor igual a (c más 1)"
"2016/04/03 4:25:23 PM GMT-3","","",""
"2016/04/03 4:33:33 PM GMT-3","((la potencia: de x a la un medio) mas seis) por ye","la putencia de: ((la potencia de x a la un medio) mas seis) a la ye","$TERM$ es menor a b y b es menor o igual a (c mas uno)"
"2016/04/03 5:37:37 PM GMT-3","(x a la un medio, eso mas 6) y todo multiplicado por ye","(x a la un medio, eso mas 6) y todo elevado a la potencia ye","$TERM$ es menor que b, b es menor o igual que (c mas 1)"
"2016/04/03 7:38:23 PM GMT-3","""((x elevada a la (un medio)) más 6) por ye""","""((x elevada a la (un medio)) más 6) por ye""","""($TERM$ menor que b) y (b menor igual que (c más 1))"""
"2016/04/03 8:32:17 PM GMT-3","((equis a la un medio) más 6) por ye","((equis a la un medio) más 6) a la ye","$TERM$ menor que b menor o igual que (c más 1)"
"2016/04/03 10:16:55 PM GMT-3","Entre paréntesis equis elevado a un medio más 6 como base e ye. ","Equis elevado a un medio más 6 todo eso elevado a ye","$TERM$ es menor que b y b es menor igual que c más 1"
"2016/04/03 11:14:13 PM GMT-3","((X a la un medio) más 6) por ye","((X a la un medio) más 6) a la ye","$TERM$ menor que b menor o igual que (c mas 1)"
"2016/04/05 3:21:21 PM GMT-3","((x elevado a la un medio) más 6) por ye","((x elevado a la un medio) más 6)  elevado a la ye","b es mayor a $TERM$ y menor o igual a c  mas  1"
"2016/04/10 4:51:28 PM GMT-3","(x elevado a (un medio) mas seis) por ye","(x elevado a (un medio) mas seis) por ye","$TERM$ menor que b menor o igual que (c mas 1)"
